Wall time,Step,Value
1701674480.4363213,4,1.5625
1701674490.442284,14,2.5390625
1701674491.5220313,15,1.5625
1701674493.1336021,18,4.296875
1701674510.1009061,26,4.1015625
1701674511.21379,27,2.34375
1701674531.9651248,40,4.296875
1701674539.447495,47,3.3203125
1701674540.1671126,48,2.9296875
1701674540.9480577,49,4.1015625
1701674563.0557072,62,4.6875
1701674564.1875372,63,3.125
1701674566.6022754,67,8.0078125
1701674570.258358,70,7.03125
1701674571.2700815,71,7.421875
1701674577.6791165,77,7.03125
1701674592.5449395,82,9.1796875
1701674598.1332471,89,9.765625
1701674607.1927683,99,8.3984375
1701674621.3673494,103,8.7890625
1701674625.9052017,107,11.71875
1701674648.5812297,121,15.4296875
1701674653.1790538,125,14.2578125
1701674653.669633,126,15.8203125
1701674654.9996743,128,19.7265625
1701674656.4686425,130,13.671875
1701674660.5936341,136,16.6015625
1701674678.5027366,144,21.09375
1701674680.0949323,146,19.53125
1701674680.671246,147,18.9453125
1701674685.701625,150,18.75
1701674691.6696908,157,20.8984375
1701674705.0330653,160,29.296875
1701674707.4486196,162,22.265625
1701674709.754938,164,26.953125
1701674716.752904,172,30.2734375
1701674719.8731952,177,26.953125
1701674738.520947,184,30.078125
1701674743.8318014,191,31.4453125
1701674744.9546635,192,37.5
1701674766.9253347,203,31.25
1701674767.9190748,205,31.8359375
1701674776.2922535,213,31.0546875
1701674798.2267487,229,34.1796875
1701674825.3683074,244,34.1796875
1701674826.4253867,245,32.03125
1701674835.5369606,258,39.453125
1701674836.3297555,259,37.6953125
1701674858.6591394,271,38.28125
1701674860.4163482,274,44.140625
1701674877.9170752,282,45.5078125
1701674881.172103,285,43.1640625
1701674884.003926,288,40.8203125
1701674885.0385644,290,49.0234375
1701674887.8896286,295,45.3125
1701674888.6765194,297,47.265625
1701674910.4877615,308,45.5078125
1701674912.6578286,312,40.625
1701674914.8871093,316,44.7265625
1701674915.78952,318,44.3359375
1701674916.8688228,319,47.4609375
1701674931.6719968,322,46.484375
1701674960.092668,345,47.265625
1701674961.0978243,346,46.6796875
1701674968.9732893,358,51.953125
1701674985.9409995,364,50.1953125
1701674987.0489807,365,55.46875
1701674988.198483,366,50.390625
1701674995.4666867,378,48.828125
1701675014.4848502,386,52.1484375
1701675017.161028,390,60.546875
1701675018.1061423,392,57.03125
1701675020.549631,397,52.1484375
1701675035.4907665,402,52.9296875
1701675037.7101736,404,48.828125
1701675046.3293722,415,52.734375
1701675062.4375768,421,53.7109375
1701675063.6396346,422,61.5234375
1701675074.1607387,436,58.0078125
1701675074.569482,437,57.421875
1701675075.4199197,439,57.8125
1701675094.465735,446,61.5234375
1701675099.2707705,452,59.9609375
1701675116.3306751,461,57.2265625
1701675120.7364821,465,59.375
1701675123.9474413,468,51.7578125
1701675125.3867066,470,56.640625
1701675127.6732497,474,55.859375
1701675128.3747842,475,54.1015625
1701675141.9135401,480,55.859375
1701675142.3221157,481,59.765625
1701675147.0380647,487,60.546875
1701675178.8556683,510,58.3984375
1701675180.0632899,512,58.3984375
1701675180.4898205,513,59.375
1701675181.126375,514,62.3046875
1701675182.5584822,517,60.15625
1701675183.3525002,519,61.328125
1701675207.4945986,533,64.0625
1701675207.8809633,534,64.0625
1701675209.1595223,536,62.109375
1701675209.9772298,538,63.671875
1701675222.8923197,540,61.1328125
1701675227.084524,544,56.8359375
1701675229.2495975,546,64.453125
1701675233.058898,550,57.421875
1701675234.1385946,552,58.3984375
1701675236.2359793,556,62.6953125
1701675252.2013023,562,61.5234375
1701675254.4444275,564,59.375
1701675258.5651622,568,60.3515625
1701675281.6653984,584,63.28125
1701675287.261308,590,63.0859375
1701675289.2216475,594,63.0859375
1701675290.4772644,596,60.15625
1701675315.6833713,613,64.0625
1701675316.071814,614,53.3203125
1701675332.0441837,622,57.03125
1701675333.11261,623,62.109375
1701675338.8059266,628,63.4765625
1701675339.904837,629,64.2578125
1701675344.1152062,637,64.6484375
1701675359.548718,643,60.15625
1701675360.6922612,644,65.625
1701675365.9247446,649,61.328125
1701675371.790646,658,58.984375
1701675383.3541071,660,61.328125
1701675390.0491347,667,62.890625
1701675396.577887,675,64.0625
1701675396.9669116,676,63.28125
1701675415.495826,684,55.859375
1701675422.7583704,692,60.3515625
1701675423.8754587,694,66.40625
1701675447.3778033,710,58.7890625
1701675465.424409,721,64.0625
1701675467.6111934,723,66.2109375
1701675469.8434396,725,60.546875
1701675473.1605492,728,62.109375
1701675476.0821567,731,57.2265625
1701675476.4762864,732,68.359375
1701675495.7649064,744,57.421875
1701675521.524272,764,60.7421875
1701675531.495996,775,58.0078125
1701675531.940032,776,64.0625
1701675545.5365636,782,60.3515625
1701675552.3125772,788,61.71875
1701675574.6887686,804,62.3046875
1701675575.835387,805,59.765625
1701675578.0635421,807,62.5
1701675581.3125992,810,63.0859375
1701675587.0374472,819,60.546875
1701675610.7557936,832,63.28125
1701675626.4851532,840,61.328125
1701675629.298402,843,58.7890625
1701675641.296649,857,56.4453125
1701675655.665445,862,56.0546875
1701675660.087337,866,59.5703125
1701675665.4094093,871,58.3984375
1701675686.7470114,886,58.203125
1701675694.4456239,895,53.3203125
1701675695.5879862,897,58.7890625
1701675709.8140488,901,64.453125
1701675717.4301035,908,56.25
1701675745.9860194,930,60.15625
1701675746.9547384,932,60.15625
1701675765.8417957,942,55.2734375
1701675773.377045,949,63.28125
1701675793.2427115,963,57.421875
1701675805.0789282,979,62.6953125
1701675818.662023,982,65.8203125
1701675828.1699414,992,60.7421875
1701675829.366428,994,62.5
1701675831.7929401,999,63.671875
1701675845.1924715,1002,63.8671875
1701675847.426777,1004,62.890625
1701675856.8674803,1015,60.3515625
1701675873.3014297,1022,60.15625
1701675877.6661851,1026,62.5
1701675879.7174282,1028,59.9609375
1701675885.5936084,1037,60.546875
1701675912.3323514,1056,68.359375
1701675935.6937566,1070,69.7265625
1701675936.085889,1071,62.890625
1701675937.279764,1073,65.234375
1701675939.413156,1077,65.0390625
1701675959.182835,1086,68.359375
1701675966.53755,1098,60.546875
1701675981.07458,1102,60.7421875
1701675983.28328,1104,62.3046875
1701675986.3178859,1107,58.59375
1701675987.8701265,1109,62.890625
1701675988.9743474,1111,67.7734375
1701676005.6293674,1121,63.4765625
1701676009.9622808,1125,65.625
1701676011.0585067,1126,66.6015625
1701676016.0612683,1132,63.28125
1701676017.1434941,1134,64.2578125
1701676019.5527353,1139,66.796875
1701676037.998274,1146,63.8671875
1701676043.147342,1151,65.8203125
1701676043.9047632,1152,62.890625
1701676064.288225,1164,68.1640625
1701676073.4959023,1174,69.140625
1701676074.6065574,1176,68.75
1701676075.211047,1177,67.96875
1701676092.481414,1184,66.6015625
1701676098.0023549,1189,68.9453125
1701676100.7677562,1193,65.625
1701676101.3386912,1194,65.4296875
1701676119.8529446,1206,65.234375
1701676127.7109022,1214,69.921875
1701676129.9100802,1218,69.3359375
1701676146.547568,1223,69.140625
1701676148.655186,1225,73.2421875
1701676171.929697,1244,71.875
1701676173.0167515,1246,74.609375
1701676180.22125,1251,73.828125
1701676180.6314757,1252,72.0703125
1701676181.8405106,1254,69.53125
1701676183.5335557,1257,70.703125
1701676198.29038,1261,71.875
1701676204.6577768,1267,74.609375
1701676207.7369425,1271,69.7265625
1701676210.60391,1276,75.0
1701676226.335438,1282,71.875
1701676229.5685847,1285,68.5546875
1701676234.347443,1290,73.4375
1701676235.93418,1293,71.09375
1701676238.5042467,1298,77.1484375
1701676253.3600368,1302,69.7265625
1701676257.6792085,1306,74.8046875
1701676264.1777666,1315,71.484375
1701676281.3854928,1322,71.2890625
1701676284.807473,1325,75.1953125
1701676285.870649,1326,71.09375
1701676291.004253,1335,74.8046875
1701676311.1740422,1345,74.609375
1701676331.4428346,1360,70.703125
1701676335.7383645,1364,74.8046875
1701676343.987366,1375,72.4609375
1701676344.4280186,1376,70.1171875
1701676357.8301992,1380,77.34375
1701676369.2028644,1393,73.828125
1701676398.4379473,1417,75.390625
1701676425.1323893,1436,74.0234375
1701676425.9682696,1438,78.125
1701676426.4075832,1439,75.0
1701676446.9885519,1449,79.1015625
1701676451.0809925,1457,76.5625
1701676451.4799545,1458,77.9296875
1701676465.6813996,1461,72.8515625
1701676476.155054,1474,73.046875
1701676477.010683,1476,75.78125
1701676495.944525,1487,75.0
1701676500.3931007,1490,69.3359375
1701676502.3310175,1494,74.0234375
1701676504.3976848,1498,75.78125
1701676518.4438744,1502,73.4375
1701676525.8918972,1509,72.8515625
1701676526.8609467,1510,73.046875
1701676528.6774628,1513,69.921875
1701676530.3760092,1516,71.09375
1701676552.225414,1528,75.9765625
1701676556.972444,1534,70.703125
1701676559.1478748,1538,71.875
1701676579.1289313,1548,73.6328125
1701676582.351556,1551,70.8984375
1701676605.6364775,1565,71.2890625
1701676609.0158305,1568,71.6796875
1701676612.3046315,1573,72.8515625
1701676614.0185943,1576,71.6796875
1701676632.4427114,1585,74.8046875
1701676640.790936,1596,70.703125
1701676655.6799002,1601,70.5078125
1701676657.7029765,1603,69.140625
1701676689.1109757,1627,70.3125
1701676694.5372176,1635,68.1640625
1701676695.6430914,1637,73.6328125
1701676709.52309,1640,70.3125
1701676716.2717562,1646,69.140625
1701676717.2696474,1647,69.140625
1701676722.0268276,1654,70.5078125
1701676738.8190835,1662,73.828125
1701676743.004037,1666,69.53125
1701676746.1747437,1670,69.3359375
1701676749.8301277,1677,73.2421875
1701676750.6039724,1679,68.9453125
1701676768.3441124,1685,74.21875
1701676774.9936323,1694,66.015625
1701676791.7303147,1702,71.6796875
1701676793.774869,1704,67.96875
1701676796.936912,1707,68.5546875
1701676799.818772,1710,68.75
1701676800.2490437,1711,64.6484375
1701676803.915707,1718,67.7734375
1701676817.6538343,1722,66.6015625
1701676818.7481248,1723,66.015625
1701676826.2589655,1730,74.21875
1701676830.8653774,1739,68.75
1701676846.838807,1743,72.8515625
1701676849.0530193,1745,72.65625
1701676855.788821,1754,72.265625
1701676875.7571115,1765,68.9453125
1701676882.4686394,1775,69.53125
1701676883.291511,1777,68.1640625
1701676900.876744,1784,74.4140625
1701676904.8922167,1789,66.40625
1701676906.4312377,1792,69.3359375
1701676922.0668685,1800,70.8984375
1701676936.715773,1819,73.4375
1701676958.806921,1830,69.53125
1701676962.8776553,1838,71.484375
1701676982.7806363,1847,70.5078125
1701676985.9009929,1851,71.6796875
1701677002.951241,1860,71.2890625
1701677008.5627384,1865,74.0234375
1701677009.7036324,1866,67.1875
1701677010.7972186,1867,71.875
1701677032.934482,1883,72.65625
1701677038.5288494,1888,71.2890625
1701677044.14221,1899,69.3359375
1701677058.430326,1902,74.8046875
1701677065.2596672,1908,71.875
1701677065.7768524,1909,72.8515625
1701677067.8769963,1913,71.484375
1701677070.3779237,1918,69.53125
1701677087.2316513,1924,74.609375
1701677088.3251438,1925,74.21875
1701677096.7392943,1936,74.0234375
1701677110.436044,1940,72.4609375
1701677111.4471176,1941,67.7734375
1701677115.765566,1945,70.8984375
1701677117.9457576,1947,70.5078125
1701677124.0659277,1956,70.5078125
1701677136.6584384,1960,75.390625
1701677137.5958073,1961,75.1953125
1701677139.6152716,1963,75.0
1701677140.7007344,1964,69.7265625
1701677142.9557073,1966,65.625
1701677151.4884574,1977,75.0
1701677152.3648756,1979,74.609375
1701677171.148502,1987,70.3125
1701677172.162388,1988,73.6328125
1701677175.2411115,1991,74.0234375
1701677223.651461,2026,76.3671875
1701677252.1337886,2047,76.3671875
1701677259.040881,2055,78.3203125
1701677280.3616915,2067,79.1015625
1701677283.5261364,2070,78.90625
1701677288.179469,2079,76.5625
1701677310.429375,2089,78.515625
1701677314.8251224,2097,78.515625
1701677328.3719685,2100,75.0
1701677331.6208234,2103,78.125
1701677338.079878,2109,77.9296875
1701677340.5531032,2114,82.421875
1701677341.1646602,2115,76.7578125
1701677343.0942419,2119,75.0
1701677355.8817751,2120,77.1484375
1701677363.7161117,2127,79.8828125
1701677369.5213091,2136,78.90625
1701677370.7563326,2139,75.0
1701677397.7792425,2159,79.1015625
1701677420.2147834,2169,81.4453125
1701677443.9958801,2187,80.46875
1701677449.5061827,2194,71.484375
1701677463.9060154,2201,76.953125
1701677471.9617817,2209,80.859375
1701677474.5750291,2211,76.171875
1701677476.6195679,2215,79.296875
1701677492.7876108,2221,78.515625
1701677496.9539657,2225,77.5390625
1701677505.0866463,2236,80.2734375
1701677506.4930298,2239,76.3671875
1701677523.3462305,2244,77.734375
1701677533.2242665,2257,82.03125
1701677574.4718087,2281,80.859375
1701677600.3312502,2300,81.640625
1701677605.554606,2305,78.125
1701677606.6956618,2306,77.734375
1701677613.736038,2316,77.1484375
1701677615.2733264,2319,81.0546875
1701677632.868498,2324,74.4140625
1701677639.9505222,2332,79.4921875
1701677657.7051344,2342,79.296875
1701677667.489934,2352,77.1484375
1701677671.1845093,2359,81.25
1701677695.4740078,2373,79.296875
1701677721.3009493,2389,75.0
1701677723.887438,2393,80.46875
1701677724.326878,2394,76.953125
1701677726.020335,2397,79.6875
1701677726.451319,2398,76.953125
1701677774.79061,2428,79.8828125
1701677776.8146243,2431,76.171875
1701677779.1952076,2435,76.7578125
1701677779.8515987,2436,75.1953125
1701677793.2346933,2441,75.9765625
1701677805.5297694,2454,76.5625
1701677821.3474953,2462,74.8046875
1701677822.7888038,2465,76.5625
1701677848.3307376,2485,71.6796875
1701677857.1527748,2493,76.3671875
1701677859.7633562,2498,76.953125
1701677872.6430416,2500,76.5625
1701677876.0477207,2503,72.8515625
1701677878.287766,2505,66.40625
1701677879.416313,2506,75.1953125
1701677885.662455,2517,72.65625
1701677886.0608716,2518,75.5859375
1701677886.7428749,2519,71.875
1701677900.0325413,2521,74.4140625
1701677902.1960852,2523,74.0234375
1701677907.5411308,2528,76.7578125
1701677909.1935325,2530,68.9453125
1701677913.2578225,2538,71.875
1701677958.909577,2565,73.2421875
1701677960.0518515,2566,72.8515625
1701677967.9405446,2577,70.1171875
1701677968.3543792,2578,74.609375
1701677989.3124514,2588,75.78125
1701677990.311318,2589,73.828125
1701677992.1585429,2592,76.171875
1701677995.7010272,2599,75.1953125
1701678013.546103,2606,73.2421875
1701678022.5624378,2619,76.5625
1701678042.8297431,2627,73.4375
1701678043.9830303,2628,72.65625
1701678048.1577883,2635,75.5859375
1701678049.9448957,2638,75.5859375
1701678050.331074,2639,75.390625
1701678061.7677746,2640,73.828125
1701678064.5075014,2643,76.953125
1701678090.5406754,2662,77.9296875
1701678099.2778833,2670,75.5859375
1701678100.3562808,2671,74.8046875
1701678101.8232782,2674,76.171875
1701678117.4090142,2681,70.8984375
1701678120.0969899,2684,75.78125
1701678122.1419387,2686,79.6875
1701678125.3455002,2689,73.2421875
1701678129.0169966,2693,76.5625
1701678147.3010304,2702,74.8046875
1701678153.71683,2708,78.7109375
1701678157.6632118,2713,74.4140625
1701678159.9112742,2717,75.78125
1701678160.697709,2719,72.8515625
1701678182.7405124,2729,76.3671875
1701678183.40123,2730,76.7578125
1701678185.3553467,2734,72.65625
1701678187.7987306,2739,76.5625
1701678199.8044226,2740,79.6875
1701678200.8499424,2741,76.953125
1701678204.2297513,2744,82.421875
1701678212.028013,2753,78.125
1701678212.434969,2754,74.21875
1701678212.969208,2755,78.515625
1701678227.053889,2760,78.7109375
1701678232.5838814,2765,75.5859375
1701678235.7537298,2768,74.8046875
1701678238.507876,2771,78.3203125
1701678239.5146217,2773,74.4140625
1701678240.5337615,2775,77.1484375
1701678242.2277339,2778,73.828125
1701678262.0382748,2785,77.734375
1701678270.1721668,2797,77.34375
1701678270.952299,2799,78.3203125
1701678294.0517898,2812,76.3671875
1701678294.684128,2813,76.953125
1701678313.7294462,2824,79.8828125
1701678322.5946138,2834,79.1015625
1701678324.9104886,2838,83.59375
1701678341.7193139,2844,79.4921875
1701678349.1655614,2851,79.1015625
1701678349.558364,2852,80.2734375
1701678366.0221188,2861,78.3203125
1701678367.0451622,2862,78.515625
1701678394.732187,2881,83.7890625
1701678395.9084897,2882,84.1796875
1701678404.8615584,2891,79.1015625
1701678405.9673302,2893,80.078125
1701678406.7817438,2895,77.9296875
1701678424.6880481,2903,82.421875
1701678432.3786821,2911,78.7109375
1701678434.499808,2915,82.2265625
1701678436.226431,2918,89.0625
1701678448.5069664,2920,80.859375
1701678449.5603247,2921,82.421875
1701678452.9397588,2924,82.6171875
1701678459.2385807,2930,81.640625
1701678461.2558124,2934,80.6640625
1701678461.739079,2935,83.3984375
1701678485.8447337,2949,79.6875
1701678487.3795598,2952,76.7578125
1701678488.9021854,2955,81.640625
1701678505.8457618,2962,81.25
1701678509.0062904,2965,82.2265625
1701678511.1056883,2967,80.46875
1701678515.4273365,2973,84.1796875
1701678517.921462,2978,81.8359375
1701678534.9551964,2984,83.0078125
1701678537.2008388,2986,82.2265625
1701678544.4193077,2996,82.8125
1701678545.7561498,2999,82.8125
1701678560.01862,3002,81.4453125
1701678568.4390233,3010,81.0546875
1701678573.3665485,3019,84.375
1701678595.7132967,3029,81.25
1701678598.981185,3034,82.03125
1701678621.1198027,3047,79.296875
1701678647.8284278,3066,80.078125
1701678651.1858673,3069,80.859375
1701678672.2425554,3083,82.2265625
1701678673.387791,3084,84.1796875
1701678678.7890162,3090,81.4453125
1701678682.2025094,3096,78.7109375
1701678698.848357,3103,82.6171875
1701678700.0024416,3104,80.46875
1701678701.0979183,3105,83.59375
1701678703.2374845,3107,83.59375
1701678706.1251845,3111,82.03125
1701678708.3949304,3115,84.765625
1701678710.0778687,3119,80.859375
1701678722.7331948,3120,82.421875
1701678723.7412562,3121,78.125
1701678729.0980878,3126,80.078125
1701678731.3662605,3128,83.59375
1701678737.216317,3138,80.078125
1701678756.3143468,3145,82.421875
1701678789.268459,3173,83.7890625
1701678791.7716248,3178,81.4453125
1701678811.8309484,3187,79.4921875
1701678814.7551696,3190,81.8359375
1701678815.6189556,3192,82.6171875
1701678819.3422635,3199,83.7890625
1701678836.4496038,3204,78.125
1701678843.440511,3212,74.4140625
1701678845.886381,3216,79.296875
1701678846.3053503,3217,78.515625
1701678859.7591443,3220,81.0546875
1701678862.057549,3222,81.640625
1701678869.4954927,3229,79.1015625
1701678873.6974454,3237,77.9296875
1701678888.4918864,3241,74.609375
1701678890.5648527,3243,78.3203125
1701678919.7481065,3265,76.3671875
1701678923.0763617,3268,81.8359375
1701678956.2841792,3298,80.6640625
1701678976.0101545,3306,76.953125
1701679024.4026406,3340,81.25
1701679029.8207254,3345,73.2421875
1701679037.4234207,3356,83.0078125
1701679056.8353372,3365,76.7578125
1701679061.1463509,3370,72.65625
1701679062.4042723,3372,74.21875
1701679063.447573,3374,77.34375
1701679065.0193157,3377,75.390625
1701679065.852612,3379,79.1015625
1701679083.5214162,3384,75.5859375
1701679084.6141675,3385,75.78125
