Wall time,Step,Value
1701720385.5771194,1071,51.25
1701720387.3028178,1073,49.0
1701720390.7475617,1077,53.25
1701720398.402299,1086,53.5
1701720416.5132806,1098,47.25
1701720419.9437973,1102,46.5
1701720421.653765,1104,51.75
1701720424.1880841,1107,48.5
1701720425.8832927,1109,51.5
1701720427.5790584,1111,45.25
1701720444.7531157,1121,53.25
1701720448.203624,1125,49.25
1701720454.1637528,1132,48.25
1701720455.8647268,1134,47.5
1701720460.101082,1139,56.0
1701720473.7645602,1146,49.25
1701720478.0563116,1151,54.75
1701720478.911029,1152,49.0
1701720489.1073794,1164,47.75
1701720506.0135145,1174,51.75
1701720507.7349014,1176,50.75
1701720508.5854063,1177,45.25
1701720514.570159,1184,51.75
1701720522.193556,1193,46.0
1701720523.0500913,1194,53.25
1701720547.9883626,1214,50.25
1701720551.3576837,1218,47.0
1701720565.5693114,1225,51.0
1701720583.4223099,1246,48.25
1701720595.7857237,1251,45.5
1701720596.6373749,1252,46.75
1701720598.3627162,1254,50.75
1701720600.956325,1257,47.5
1701720604.372258,1261,47.75
1701720609.47978,1267,52.5
1701720612.864152,1271,48.75
1701720624.686905,1276,48.5
1701720629.8533447,1282,52.5
1701720636.6668398,1290,48.5
1701720643.4266307,1298,46.25
1701720658.5300384,1306,48.0
1701720666.2200232,1315,49.25
1701720672.1241028,1322,53.0
1701720674.6807313,1325,43.0
1701720683.9604044,1326,44.75
1701720700.1678853,1345,51.75
1701720721.0144734,1360,49.25
1701720724.4163394,1364,43.25
1701720733.7468655,1375,45.0
1701720734.600493,1376,52.0
1701720745.47064,1380,47.25
1701720784.6709023,1417,51.5
1701720810.2371278,1438,51.25
1701720811.0816047,1439,51.5
1701720834.585994,1457,55.25
1701720835.433922,1458,52.0
1701720838.0039291,1461,46.5
1701720849.123247,1474,47.5
1701720850.8262794,1476,49.5
1701720867.7930112,1487,53.0
1701720870.4011796,1490,46.5
1701720873.8025782,1494,52.75
1701720880.5898116,1502,51.75
1701720894.559871,1509,54.25
1701720895.4329648,1510,52.0
1701720898.0014646,1513,52.75
1701720900.555934,1516,45.25
1701720910.7399704,1528,57.0
1701720923.4855692,1534,57.0
1701720926.903089,1538,51.0
1701720935.4513874,1548,51.0
1701720938.0039701,1551,53.0
1701720957.5875602,1565,50.0
1701720960.1765747,1568,57.5
1701720964.4588492,1573,58.0
1701720967.0058389,1576,55.25
1701720974.648194,1585,47.75
1701720991.852624,1596,58.5
1701720996.1143277,1601,52.25
1701720997.8224316,1603,60.75
1701721026.133803,1627,58.75
1701721032.903316,1635,55.0
1701721034.6133385,1637,55.0
1701721051.1732066,1647,55.5
1701721057.1860871,1654,61.5
1701721079.9799445,1670,51.5
1701721085.9457085,1677,58.75
1701721087.6379673,1679,58.75
1701721092.709153,1685,61.75
1701721108.0574732,1694,59.25
1701721114.9113057,1702,61.0
1701721116.6287134,1704,56.25
1701721119.1742196,1707,61.25
1701721121.7131665,1710,63.5
1701721122.570266,1711,60.0
1701721136.5452802,1718,57.0
1701721140.8145995,1723,59.25
1701721146.7801943,1730,62.5
1701721154.4367373,1739,59.0
1701721167.5746017,1745,58.75
1701721175.3069901,1754,65.25
1701721184.6413054,1765,65.0
1701721200.8040326,1775,56.75
1701721202.5336359,1777,62.5
1701721208.4812858,1784,60.75
1701721212.7270422,1789,67.0
1701721215.2639823,1792,65.75
1701721229.924204,1800,65.0
1701721246.0589397,1819,60.5
1701721286.0443225,1847,63.0
1701721289.4632437,1851,65.5
1701721297.1720388,1860,59.75
1701721301.411714,1865,64.5
1701721303.1025558,1867,68.75
1701721328.8293142,1888,69.25
1701721346.4077466,1899,63.5
1701721348.9717941,1902,70.25
1701721354.1149516,1908,68.75
1701721354.9563498,1909,67.0
1701721375.4784396,1924,66.0
1701721376.3476899,1925,65.25
1701721385.7964456,1936,70.0
1701721389.1847327,1940,69.5
1701721393.4110355,1945,65.75
1701721395.1161656,1947,63.0
1701721413.7912948,1960,71.0
1701721414.633382,1961,70.75
1701721416.3385568,1963,70.25
1701721417.185766,1964,66.5
1701721418.8979516,1966,66.75
1701721436.3856046,1977,69.5
1701721438.1016889,1979,76.5
1701721444.9431329,1987,73.25
1701721445.7889822,1988,66.5
1701721539.3948197,2070,71.75
1701721547.0157218,2079,73.25
1701721563.5950968,2089,72.75
1701721572.9457595,2100,74.25
1701721575.4907262,2103,69.75
1701721588.44032,2109,76.0
1701721592.7492921,2114,68.5
1701721593.6028636,2115,63.0
1701721597.0335155,2119,77.25
1701721597.8783135,2120,70.5
1701721603.7924182,2127,74.5
1701721622.6868653,2139,72.0
1701721647.6213078,2159,71.0
1701721656.1750169,2169,70.25
1701721679.4147453,2187,77.75
1701721685.4200892,2194,74.0
1701721698.1673958,2209,72.75
1701721711.3113747,2215,77.0
1701721719.8263996,2225,67.5
1701721737.7297163,2236,70.25
1701721740.3053744,2239,77.25
1701721744.5942087,2244,80.25
1701721755.6420224,2257,76.0
1701721783.5911171,2281,76.75
1701721811.7491288,2305,69.75
1701721828.9210265,2316,77.75
1701721831.4910748,2319,76.0
1701721835.7770572,2324,76.0
1701721842.557962,2332,81.5
1701721859.3909838,2342,71.5
1701721867.9350154,2352,78.5
1701721873.8742974,2359,73.75
1701721907.757198,2389,73.5
1701721919.016621,2393,78.0
1701721919.8802738,2394,79.25
1701721923.302772,2398,73.25
1701721963.473561,2436,76.5
1701721967.6977956,2441,75.25
1701721986.533298,2454,75.25
1701721993.363876,2462,73.75
1701721995.915779,2465,72.25
1701722020.9821808,2485,74.75
1701722027.7380912,2493,72.75
1701722040.2689037,2498,72.75
1701722044.5917184,2503,76.75
1701722056.502385,2517,69.0
1701722058.2060366,2519,71.75
1701722059.9071832,2521,74.75
1701722074.2788548,2528,77.75
1701722076.021478,2530,73.5
1701722082.8082054,2538,75.75
1701722113.5958147,2565,73.75
1701722114.4517243,2566,70.25
1701722132.1110635,2577,74.5
1701722132.9603791,2578,73.75
1701722141.5036798,2588,70.75
1701722144.8821268,2592,77.75
1701722150.8271492,2599,69.75
1701722164.2463255,2606,70.5
1701722175.3467565,2619,70.5
1701722190.5291321,2627,71.25
1701722191.395574,2628,69.5
1701722197.4117274,2635,74.75
1701722199.961483,2638,69.75
1701722200.803872,2639,77.0
1701722201.6611726,2640,71.0
1701722204.1975846,2643,69.25
1701722228.2969658,2662,71.75
1701722235.0811071,2670,68.25
1701722235.9256253,2671,67.75
1701722238.4715037,2674,70.75
1701722252.4697313,2681,73.25
1701722255.0512407,2684,70.5
1701722256.7467391,2686,67.75
1701722259.3238904,2689,68.0
1701722262.70599,2693,70.5
1701722270.3077102,2702,73.0
1701722283.160036,2708,73.25
1701722287.4656742,2713,66.25
1701722290.8593147,2717,69.0
1701722301.0524602,2729,71.5
1701722310.0450304,2730,75.5
1701722313.4702117,2734,69.0
1701722317.7736576,2739,65.0
1701722318.6393917,2740,67.25
1701722319.4840071,2741,65.25
1701722322.0295658,2744,71.5
1701722329.64133,2753,67.0
1701722330.4776351,2754,74.0
1701722331.317878,2755,64.5
1701722344.3014698,2760,70.0
1701722348.6209571,2765,65.5
